review_id,product_id,category,review_text,review_length,num_words,sentiment_score,rating
R0001,P158,home,Amazing quality and fast shipping.,34,5,-0.6,3
R0002,P117,fashion,"Just okay, nothing special.",27,4,-0.1,5
R0003,P160,fashion,Not worth the money.,20,4,0.2,5
R0004,P127,fashion,"Just okay, nothing special.",27,4,0.22,4
R0005,P151,home,"Just okay, nothing special.",27,4,-0.03,4
R0006,P182,home,"Just okay, nothing special.",27,4,0.51,4
R0007,P195,home,"Excellent product, I loved it!",30,5,-0.33,3
R0008,P154,fashion,Amazing quality and fast shipping.,34,5,0.13,3
R0009,P144,sports,"Excellent product, I loved it!",30,5,0.26,2
R0010,P144,sports,"Terrible experience, would not buy again.",41,6,0.46,5
R0011,P128,fashion,"Just okay, nothing special.",27,4,0.56,4
R0012,P151,electronics,Amazing quality and fast shipping.,34,5,-0.36,4
R0013,P152,electronics,Not worth the money.,20,4,-0.57,4
R0014,P189,home,"Excellent product, I loved it!",30,5,0.84,5
R0015,P179,home,Not worth the money.,20,4,0.37,2
R0016,P136,home,"Terrible experience, would not buy again.",41,6,-0.17,4
R0017,P153,electronics,"Terrible experience, would not buy again.",41,6,0.98,4
R0018,P153,fashion,Not worth the money.,20,4,0.26,4
R0019,P132,electronics,Amazing quality and fast shipping.,34,5,0.79,1
R0020,P192,sports,Not worth the money.,20,4,0.23,5
R0022,P133,sports,"Excellent product, I loved it!",30,5,1.0,4
R0023,P137,fashion,Amazing quality and fast shipping.,34,5,0.08,4
R0024,P182,electronics,Amazing quality and fast shipping.,34,5,0.69,5
R0025,P125,home,Not worth the money.,20,4,0.52,5
R0026,P170,sports,Amazing quality and fast shipping.,34,5,0.88,2
R0028,P170,fashion,"Terrible experience, would not buy again.",41,6,0.54,4
R0029,P189,home,"Just okay, nothing special.",27,4,0.73,4
R0030,P102,home,"Terrible experience, would not buy again.",41,6,-0.68,5
R0031,P100,home,Amazing quality and fast shipping.,34,5,-0.39,5
R0032,P195,home,Amazing quality and fast shipping.,34,5,-0.82,5
